Name,Locality,District,Removed,Latitude,Longitude
"DNA Path Sculpture","Great Shelford","South Cambridgeshire",0,52.166531,0.132501
"Oak Information Sculpture",Haslingfield,"South Cambridgeshire",0,52.16786,0.107272
"Trumpington Meadows Trail Marker 1",Trumpington,Cambridge,0,52.171699,0.104121
"Trumpington Pavillion",Trumpington,Cambridge,0,52.172806,0.115321
"Byron's Pool",Trumpington,Cambridge,0,52.172995,0.102155
"Sculpture at Rosie Hospital ","Queen Edith's",Cambridge,0,52.1735,0.139554
"Saint Mary and Saint Michaels",Trumpington,Cambridge,0,52.17387,0.10867
Rose,"Queen Edith's",Cambridge,0,52.174153,0.139181
Addenbrookes,"Queen Edith's",Cambridge,1,52.175461,0.142176
"Addenbrookes Flag","Queen Edith's",Cambridge,1,52.175954,0.143757
"Anne Frank's Tree","Queen Edith's",Cambridge,0,52.176297,0.138149
"Clifford Allbutt Building","Queen Edith's",Cambridge,0,52.176479,0.143373
"Rupert Brooke Statue",Grantchester,"South Cambridgeshire",0,52.176549,0.096893
"The Log Run","Queen Edith's",Cambridge,0,52.177414,0.148122
"The Kids Are Cool","Queen Edith's",Cambridge,0,52.178027,0.150901
"Cherry Hinton East Chalk Pit Iron Age Hill Fort","Cherry Hinton",Cambridge,0,52.178298,0.169841
"The Green Man Pub",Grantchester,"South Cambridgeshire",0,52.180031,0.095081
"St James' Church","Queen Edith's",Cambridge,0,52.181785,0.152169
"Cherry Hinton Chalk Pits 2","Cherry Hinton",Cambridge,0,52.182352,0.170081
"The Red Lion","Cherry Hinton",Cambridge,0,52.185772,0.171987
"Cherry Hinton Recreation Ground Memorial","Cherry Hinton",Cambridge,0,52.186231,0.17324
"Tree Tumblers","Cherry Hinton",Cambridge,0,52.186346,0.16394
"Old Millstone","Cherry Hinton",Cambridge,0,52.186474,0.16704
"Quaker Society Meeting House","Queen Edith's",Cambridge,0,52.187384,0.144091
"United Reformed Church",Coleridge,Cambridge,0,52.187876,0.144669
"Cherry Hinton Baptist Church","Cherry Hinton",Cambridge,0,52.188505,0.175797
"The Moon, Sun and Stars",Trumpington,Cambridge,0,52.190322,0.132295
"Cambridge Junction Arts",Coleridge,Cambridge,0,52.190578,0.135937
"Junction Mural",Coleridge,Cambridge,0,52.190626,0.136711
"Post Office War Memorial",Coleridge,Cambridge,0,52.192758,0.139176
"St. Martin's Church",Coleridge,Cambridge,0,52.193068,0.149921
"Systematic Beds of Herbaceous Plants",Trumpington,Cambridge,0,52.193242,0.124594
Ceres,Trumpington,Cambridge,0,52.193406,0.135407
"Fountain at Cambridge University Botanic Garden",Trumpington,Cambridge,0,52.19367,0.126896
"The Dawn Redwood",Trumpington,Cambridge,0,52.193682,0.123985
"Cambridge Gardens Greenhouse",Trumpington,Cambridge,0,52.194297,0.12637
"Flying Pig",Trumpington,Cambridge,0,52.194472,0.131756
"Kett House Tree",Trumpington,Cambridge,0,52.194842,0.131599
"Paradise LNR",Newnham,Cambridge,0,52.195004,0.115673
"Newnham Post Office",Newnham,Cambridge,0,52.195958,0.109652
"Longest Covered Footbridge",Petersfield,Cambridge,0,52.196111,0.137777
"The Brook",Romsey,Cambridge,0,52.196114,0.155376
"St Mark's Newnham",Newnham,Cambridge,0,52.196463,0.108243
"Stone Helix",Romsey,Cambridge,0,52.197542,0.153946
"St. Philip's Church",Romsey,Cambridge,0,52.19767,0.146039
"Lensfield Hotel",Trumpington,Cambridge,0,52.197974,0.123561
"Sancton Wood Unicorn",Trumpington,Cambridge,0,52.198147,0.130207
"Polar Harpoon Gun",Trumpington,Cambridge,0,52.198347,0.125964
"Downing College Back Gate",Trumpington,Cambridge,0,52.198577,0.125462
"Our Lady and English Martyrs Church",Trumpington,Cambridge,0,52.199022,0.12739
Empress,Romsey,Cambridge,0,52.199063,0.147127
"Hot Numbers",Petersfield,Cambridge,0,52.199404,0.139477
"St. Barnabas' Church",Petersfield,Cambridge,0,52.19953,0.138045
"Salvation Army Hall",Petersfield,Cambridge,0,52.199832,0.136689
"The Fitzwilliam Museum",Market,Cambridge,0,52.199936,0.120196
"Dales Brewery",Petersfield,Cambridge,0,52.200036,0.138502
"The C3 Centre",Romsey,Cambridge,0,52.200317,0.157283
Peterhouse,Market,Cambridge,0,52.200872,0.118465
